Proc,Rel,Gen41,Gen42,Gen43,Gen51,Gen52,Gen53
x320,>=1.01 & < 1.04,0,29,39,0,29,39
x320,1.04,0,23,35,0,23,35
x320,>= 1.05,0,21,31,0,21,31
x321,< 1.02,0,1,38,0,1,38
x321,>= 1.02,0,15,39,0,15,39
x322,>= 2.00,0,15,39,0,15,39
x323,>= 1.00,0,1,41,0,1,41
x324,>= 1.00,0,1,41,0,1,41
x325,>= 1.01,0,29,39,0,29,39
x326,>= 1.00,24,36,47,24,36,47
x327,1,24,36,47,24,36,47
x327,>= 1.01,18,32,40,18,32,40
x327,1.04,25,38,49,25,38,49
x328,>= 2.00,0,15,39,0,15,39
x329,>= 1.00,0,28,39,0,28,39
x330,>= 1.00,0,23,41,0,23,41
x332,>= 2.00,0,21,31,0,21,31
x333,>= 1.00,0,26,35,0,26,35
x335,>= 2.00,0,21,31,0,21,31
x336,>= 2.00,13,25,46,13,25,46
x337,>= 2.00,0,15,39,0,15,39
x339,>= 2.00 & < 3.00,13,25,46,13,25,46
x339,>= 3.00,0,21,33,21,33,47
x340,>= 2.00,0,21,31,0,21,31
x341,>= 1.00 & <1.04,19,28,33,19,28,33
x341,>= 1.04 ,0,24,35,0,24,35
x342,>= 2.00,0,21,31,0,21,31
x343,>= 2.00,0,21,31,0,21,31
x344,>= 2.00,0,21,31,0,21,31
x345,>= 2.00,0,21,31,0,21,31
x346,>= 3.00,18,28,39,18,28,39
x347,>= 1.04,18,32,40,18,32,40
x348,>=3.00,25,36,44,25,36,44
x349,>= 3.00,21,33,47,0,21,33
x350,>= 3.00,0,21,31,0,21,31
x351,>= 3.04 & < 3.07,31,40,50,31,40,50
x351,>= 3.07,31,40,0,31,40,0
x352,>= 1.00,0,26,35,0,26,35
x353,>= 3.00,0,0,26,0,0,26
x354,>= 3.00,0,21,33,21,33,47
x356,>= 1.00,0,26,35,0,26,35
x357,>= 1.00,18,32,42,18,32,42
x359,>= 1.00,0,1,0,0,1,0
x361,>= 3.50,0,15,39,0,15,39
x362,>= 3.00,31,40,0,31,40,0
